Spider-Man 3,Sony,61,54,Metamorphosis,Action,4252,35540,336.53,554.341,890.871,258,3.452988372,151.1
Shrek the Third,Paramount,42,57,Quest,Animation,4122,29507,322.719,476.238,798.957,160,4.99348125,121.6
Transformers,Paramount,57,89,Monster Force,Action,4011,17577,319.246,390.463,709.709,150,4.731393333,70.5
Pirates of the Caribbean: At World's End,Disney,45,74,Rescue,Action,4362,26302,309.42,654,963.42,300,3.2114,114.7
Harry Potter and the Order of the Phoenix,Warner Bros.,78,82,Quest,Adventure,4285,17998,292.004,647.881,939.885,150,6.2659,77.1
I Am Legend,Warner Bros.,69,69,Quest,Thriller,3606,21411,256.393,328.956,585.349,150,3.902326667,77.2
The Bourne Ultimatum,Universal,93,91,Pursuit,Thriller,3660,18929,227.471,215.353,442.824,110,4.025672727,69.3
National Treasure: Book of Secrets,Disney,31,72,The Riddle,Thriller,3832,11686,219.964,237.4,457.364,130,3.518184615,44.8
Alvin and the Chipmunks,Fox,26,73,Comedy,Animation,3475,12750,217.326,144.009,361.335,70,5.161928571,44.3
300,Warner Bros.,60,90,Sacrifice,Action,3103,22844,210.614,245.453,456.067,65,7.016415385,70.9
Ratatouille,Disney,97,84,Transformation,Animation,3940,11935,206.445,417.277,623.722,150,4.158146667,47
The Simpsons Movie,Fox,90,78,Maturation,Comedy,3922,18877,183.135,343.936,527.071,75,7.027613333,74
Wild Hogs,Disney,14,72,Transformation,Comedy,3287,12077,168.273,85.351,253.624,90,2.818044444,39.7
Knocked Up,Universal,91,83,Love,Comedy,2871,10690,148.768,70.307,219.075,33,6.638636364,30.7
Juno,Fox,94,89,Maturation,Comedy,1019,10436,143.495,87.916,231.411,7.5,30.8548,10.6
Rush Hour 3,Warner Bros.,20,68,Rescue,Action,3778,12996,140.125,117.896,258.021,140,1.843007143,49.1
Live Free or Die Hard,Fox,79,86,Rescue,Action,3408,9791,134.529,249.002,383.531,110,3.486645455,33.4
Fantastic Four: Rise of the Silver Surfer,Fox,35,55,Monster Force,Action,3959,14663,131.921,157.126,289.047,130,2.223438462,58
American Gangster,Universal,79,87,pursuit,Thriller,3054,14264,130.164,136.3,266.464,100,2.66464,43.6
Enchanted,Disney,93,80,Love,Comedy,3730,9233,127.807,212.68,340.487,85,4.005729412,34.4
Bee Movie,Paramount,52,57,Journey and Return,Animation,3928,9679,126.631,160.963,287.594,150,1.917293333,38
Superbad,Sony,88,87,Comedy,Comedy,2948,11211,121.463,48.408,169.871,20,8.49355,33
I Now Pronounce You Chuck and Larry,Universal,13,73,Comedy,Comedy,3495,9795,120.059,66.012,186.071,85,2.189070588,34.2
Hairspray,Warner Bros.,92,84,Underdog,Musical,3121,8803,118.871,83.676,202.547,75,2.700626667,27.5
Blades of Glory,Paramount,69,66,Rivalry,Comedy,3372,9790,118.594,27.114,145.708,61,2.388655738,33
Ocean's 13,Warner Bros.,70,74,Revenge,Thriller,3565,10135,117.154,194.157,311.311,85,3.662482353,36.1
Ghost Rider,Sony,28,56,Monster Force,Action,3619,12541,115.802,112.935,228.737,110,2.079427273,45.3
Evan Almighty,Universal,23,56,Comedy,Comedy,3604,8654,100.462,72.956,173.418,175,0.99096,31.2
Meet the Robinsons,Disney,66,75,Quest,Animation,3413,7361,97.822,71.51,169.332,100,1.69332,25.1
Norbit,Paramount,9,56,Comedy,Comedy,3136,10904,95.673,63.639,159.312,60,2.6552,34.2
The Bucket List,Warner Bros.,41,81,discovery,Drama,2911,6661,93.466,81.906,175.372,45,3.897155556,19.4
The Game Plan,Disney,27,75,Discovery,Comedy,3103,7396,90.648,57.232,147.88,22,6.721818182,22.9
Beowulf,Paramount,71,52,Journey and Return,Action,3153,8726,82.28,114.113,196.393,150,1.309286667,27.5
Disturbia,Paramount,67,75,Pursuit,Thriller,2925,7598,80.209,37.55,117.759,20,5.88795,22.2
No Country for Old Men,Paramount,95,84,Pursuit,Drama,860,9042,74.283,97.343,171.626,25,6.86504,7.8
The Golden Compass,Warner Bros.,42,55,Rescue,Action,3528,7308,70.107,302.127,372.234,180,2.067966667,25.7
Charlie Wilson's War,Universal,82,73,Discovery,Biography,2575,3750,66.661,52.339,119,75,1.586666667,9.6
Saw IV,Independent,18,70,Escape,Horror,3183,9976,63.3,76.052,139.352,10,13.9352,31.7
Stomp the Yard,Independent,27,83,Maturation,Musical,2051,10645,61.356,14.154,75.51,14,5.393571429,21.9
Surf's Up,Sony,78,64,Discovery,Animation,3528,5000,58.867,90.176,149.043,85,1.753447059,17.6
Halloween,The Weinstein Company,26,64,Pursuit,Horror,3472,7592,58.272,21.981,80.253,20,4.01265,26.4
Tyler Perry's Why Did I get Married,Independent,46,47,Love,Romance,2011,10618,55.204,0.658,55.862,15,3.724133333,21.4
TMNT,,33,63,Monster Force,Action,3110,7799,54.149,41.459,95.608,35,2.731657143,24.3
P.S. I Love You,Independent,21,82,Love,Romance,2454,2641,53.695,103.139,156.834,30,5.2278,6.5
3:10 to Yuma,Lionsgate,88,85,sacrifice,Western,2652,5292,53.606,16.409,70.015,48,1.458645833,14
Sweeney Todd: The Demon Barber of Fleet Street,Warner Bros.,86,81,Revenge,Musical,1249,7446,52.898,99.625,152.523,50,3.05046,9.3
Music and Lyrics,Warner Bros.,63,70,Love,Romance,,,50.572,95.323,145.895,40,3.647375,13.6
Michael Clayton,Independent,90,72,Transformation,Thriller,2511,4131,49.033,43.957,92.99,25,3.7196,10.4
Premonition,Sony,8,55,The Riddle,Drama,2831,6202,47.852,36.294,84.146,20,4.2073,17.6
The Kingdom,,52,78,Quest,Action,2793,6135,47.536,39.121,86.657,80,1.0832125,17.1
Shooter,Paramount,47,82,Pursuit,Action,2806,5175,47.003,48.693,95.696,61,1.568786885,14.5
License to Wed,Warner Bros.,8,55,Love,Comedy,2604,4002,43.799,25.507,69.306,35,1.980171429,10.4
No Reservations,,39,64,Love,Comedy,2425,4826,43.107,49.493,92.6,28,3.307142857,11.7
Alien vs. Predator -- Requiem,Fox,14,37,Monster Force,Horror,2611,3853,41.797,87.087,128.884,40,3.2221,10
There Will Be Blood,Paramount,91,84,Wretched Excess,Drama,885,5502,40.222,35.959,76.181,25,3.04724,4.9
Epic Movie,Independent,2,38,Comedy,Comedy,2801,6644,39.739,47.126,86.865,20,4.34325,18.6
Hitman,Fox,15,61,Quest,Action,2458,5362,39.687,60.278,99.965,17.5,5.712285714,13.2
30 Days of Night,Independent,50,57,Monster Force,Horror,2855,5587,39.568,35.936,75.504,32,2.3595,15.6
Stardust,Paramount,76,86,Quest,Adventure,2540,3610,38.634,96.925,135.559,70,1.936557143,9.16
The Brave One,,43,65,Rivalry,Action,2755,4889,36.793,32.993,69.786,70,0.996942857,13.5
The Heartbreak Kid,Paramount,30,41,Love,Comedy,3229,4342,36.787,90.979,127.766,60,2.129433333,14
Smokin' Aces,Universal,27,64,Pursuit,Action,2218,6599,35.787,21.316,57.103,17,3.359,14.6
Good Luck Chuck,Lionsgate,3,61,Love,Comedy,2612,5226,35.017,24.174,59.191,25,2.36764,13.7
Zodiac,Paramount,89,73,Pursuit,Thriller,2362,5671,33.08,51.705,84.785,65,1.304384615,13.4
Mr. Magorium's Wonder Emporium,Independent,36,56,Transformation,Fantasy,3164,3043,32.061,37.413,69.474,25,2.77896,9.63
We Own the Night,Sony,55,63,Sacrifice,Drama,2362,4583,28.563,26.363,54.926,21,2.61552381,10.8
